alpha_max,cast_cap,k_shrink,precision,recall
0.71,0.25,3,0.006578947368421052,0.06578947368421052
0.71,0.26,3,0.006578947368421052,0.06578947368421052
0.71,0.27,3,0.006578947368421052,0.06578947368421052
0.71,0.27,5,0.006578947368421052,0.06578947368421052
0.71,0.28,3,0.006578947368421052,0.06578947368421052
0.71,0.28,5,0.006578947368421052,0.06578947368421052
0.87,0.3,10,0.006578947368421052,0.06578947368421052
0.66,0.3,3,0.006578947368421052,0.06578947368421052
0.83,0.22,5,0.006578947368421052,0.06578947368421052
0.82,0.18,3,0.006578947368421052,0.06578947368421052
0.82,0.18,5,0.006578947368421052,0.06578947368421052
0.82,0.19,5,0.006578947368421052,0.06578947368421052
0.75,0.21,3,0.006578947368421052,0.06578947368421052
0.75,0.22,3,0.006578947368421052,0.06578947368421052
0.86,0.18,5,0.006578947368421052,0.06578947368421052
0.86,0.19,5,0.006578947368421052,0.06578947368421052
0.86,0.2,5,0.006578947368421052,0.06578947368421052
0.75,0.23,3,0.006578947368421052,0.06578947368421052
0.75,0.23,5,0.006578947368421052,0.06578947368421052
0.75,0.24,3,0.006578947368421052,0.06578947368421052
0.75,0.24,5,0.006578947368421052,0.06578947368421052
0.86,0.3,10,0.006578947368421052,0.06578947368421052
0.74,0.2,3,0.006578947368421052,0.06578947368421052
0.74,0.21,3,0.006578947368421052,0.06578947368421052
0.74,0.22,3,0.006578947368421052,0.06578947368421052
0.82,0.27,10,0.006578947368421052,0.06578947368421052
0.82,0.28,10,0.006578947368421052,0.06578947368421052
0.82,0.29,10,0.006578947368421052,0.06578947368421052
0.77,0.17,3,0.006578947368421052,0.06578947368421052
0.75,0.25,3,0.006578947368421052,0.06578947368421052
0.75,0.25,5,0.006578947368421052,0.06578947368421052
0.75,0.26,3,0.006578947368421052,0.06578947368421052
0.75,0.26,5,0.006578947368421052,0.06578947368421052
0.75,0.27,5,0.006578947368421052,0.06578947368421052
0.76,0.17,3,0.006578947368421052,0.06578947368421052
0.76,0.18,3,0.006578947368421052,0.06578947368421052
0.76,0.19,3,0.006578947368421052,0.06578947368421052
0.76,0.2,3,0.006578947368421052,0.06578947368421052
0.76,0.21,3,0.006578947368421052,0.06578947368421052
0.76,0.21,5,0.006578947368421052,0.06578947368421052
0.76,0.22,3,0.006578947368421052,0.06578947368421052
0.74,0.27,5,0.006578947368421052,0.06578947368421052
0.74,0.28,5,0.006578947368421052,0.06578947368421052
0.75,0.2,3,0.006578947368421052,0.06578947368421052
0.77,0.22,3,0.006578947368421052,0.06578947368421052
0.77,0.22,5,0.006578947368421052,0.06578947368421052
0.77,0.23,3,0.006578947368421052,0.06578947368421052
0.85,0.26,10,0.006578947368421052,0.06578947368421052
0.85,0.29,10,0.006578947368421052,0.06578947368421052
0.85,0.3,10,0.006578947368421052,0.06578947368421052
0.88,0.18,5,0.006578947368421052,0.06578947368421052
0.76,0.22,5,0.006578947368421052,0.06578947368421052
0.76,0.23,3,0.006578947368421052,0.06578947368421052
0.76,0.23,5,0.006578947368421052,0.06578947368421052
0.76,0.24,3,0.006578947368421052,0.06578947368421052
0.76,0.24,5,0.006578947368421052,0.06578947368421052
0.76,0.25,3,0.006578947368421052,0.06578947368421052
0.76,0.25,5,0.006578947368421052,0.06578947368421052
0.76,0.26,5,0.006578947368421052,0.06578947368421052
0.77,0.16,3,0.006578947368421052,0.06578947368421052
0.77,0.2,3,0.006578947368421052,0.06578947368421052
0.74,0.23,3,0.006578947368421052,0.06578947368421052
0.74,0.24,3,0.006578947368421052,0.06578947368421052
0.74,0.24,5,0.006578947368421052,0.06578947368421052
0.86,0.23,10,0.006578947368421052,0.06578947368421052
0.86,0.24,10,0.006578947368421052,0.06578947368421052
0.74,0.25,3,0.006578947368421052,0.06578947368421052
0.74,0.25,5,0.006578947368421052,0.06578947368421052
0.74,0.26,3,0.006578947368421052,0.06578947368421052
0.74,0.26,5,0.006578947368421052,0.06578947368421052
0.74,0.27,3,0.006578947368421052,0.06578947368421052
0.9,0.15,3,0.006578947368421052,0.06578947368421052
0.9,0.16,3,0.006578947368421052,0.06578947368421052
0.9,0.17,3,0.006578947368421052,0.06578947368421052
0.77,0.21,3,0.006578947368421052,0.06578947368421052
0.77,0.21,5,0.006578947368421052,0.06578947368421052
0.9,0.18,10,0.006578947368421052,0.06578947368421052
0.9,0.19,10,0.006578947368421052,0.06578947368421052
0.88,0.16,3,0.006578947368421052,0.06578947368421052
0.88,0.17,3,0.006578947368421052,0.06578947368421052
0.86,0.25,10,0.006578947368421052,0.06578947368421052
0.72,0.3,5,0.006578947368421052,0.06578947368421052
0.73,0.21,3,0.006578947368421052,0.06578947368421052
0.73,0.22,3,0.006578947368421052,0.06578947368421052
0.77,0.24,5,0.006578947368421052,0.06578947368421052
0.77,0.25,5,0.006578947368421052,0.06578947368421052
0.85,0.2,5,0.006578947368421052,0.06578947368421052
0.85,0.21,5,0.006578947368421052,0.06578947368421052
0.85,0.22,10,0.006578947368421052,0.06578947368421052
0.85,0.23,10,0.006578947368421052,0.06578947368421052
